#,title,artist,href
275,Derrière Mon Sourire,Sans Pression,https://genius.com/Sans-pression-derriere-mon-sourire-lyrics
276,Résistance,Loco Locass,https://genius.com/Loco-locass-resistance-lyrics
277,Or,Enima,https://genius.com/Enima-or-lyrics
278,GG,Loud,https://genius.com/Loud-gg-lyrics
279,1st Day Out,Jeune Loup,https://genius.com/Jeune-loup-1st-day-out-lyrics
280,Easy,Enima,https://genius.com/Enima-easy-lyrics
281,Voilà Voilà,Souldia,https://genius.com/Souldia-voila-voila-lyrics
282,Le sablier,Souldia (Ft. Izzy-S & Marieme Ndiaye ),https://genius.com/Souldia-le-sablier-lyrics
283,Solo,White-B (Ft. Lost ),https://genius.com/White-b-solo-lyrics
284,III,FouKi,https://genius.com/Fouki-iii-lyrics
285,Ciao,Souldia (Ft. O.Z (QC) ),https://genius.com/Souldia-ciao-lyrics
286,Petit sauvage,Rymz (Ft. Souldia ),https://genius.com/Rymz-petit-sauvage-lyrics
287,Révolte,Manu Militari,https://genius.com/Manu-militari-revolte-lyrics
288,Mad,Enima,https://genius.com/Enima-mad-lyrics
289,Jelly,Dead Obies,https://genius.com/Dead-obies-jelly-lyrics
290,Mémoire d'outre-tombe,Facekché,https://genius.com/Facekche-memoire-doutre-tombe-lyrics
291,Moi pis mes homies,Dead Obies,https://genius.com/Dead-obies-moi-pis-mes-homies-lyrics
292,Sans faire d'histoire,Loud,https://genius.com/Loud-sans-faire-dhistoire-lyrics
293,RIP,Obey The Brave (Ft. Loud Lary Ajust ),https://genius.com/Obey-the-brave-rip-lyrics
294,Tséveudire,Koriass,https://genius.com/Koriass-tseveudire-lyrics
295,Felonie,YH (Ft. White-B ),https://genius.com/Yh-felonie-lyrics
296,Ting Tun Up Part II,Skiifall (Ft. Knucks ),https://genius.com/Skiifall-ting-tun-up-part-ii-lyrics
297,Black Kia,Amari Cinco,https://genius.com/Amari-cinco-black-kia-lyrics
298,Ice,Seven Binks (Ft. Enima & Kodes ),https://genius.com/Seven-binks-ice-lyrics
299,FRUIT DÉFENDU,Lost,https://genius.com/Lost-fruit-defendu-lyrics
300,Oh Lord,Dead Obies,https://genius.com/Dead-obies-oh-lord-lyrics
301,Parasite,Lost & White-B,https://genius.com/Lost-and-white-b-parasite-lyrics
302,Petit bébé,Lost,https://genius.com/Lost-petit-bebe-lyrics
303,G.O.A.T.S.,"MikeZup , Connaisseur Ticaso & Enima",https://genius.com/Mikezup-connaisseur-ticaso-and-enima-goats-lyrics
